,Date,Low,High,Close,Open,Volume,Adj Close
851,2013-05-08,26.65,27.3,27.12,26.88,34654900.0,27.12
850,2016-10-28,129.93,132.97,131.29,130.5,24545547.0,131.29
849,2013-01-02,27.42,28.18,28.0,27.44,69846400.0,28.0
848,2013-04-09,26.42,26.89,26.59,26.58,21311100.0,26.59
847,2014-07-16,67.07,67.94,67.66,67.54,29541600.0,67.66
846,2013-11-20,46.31,47.55,46.43,46.61,53933000.0,46.43
845,2016-01-21,92.62,95.99,94.16,94.91,30518939.0,94.16
844,2017-12-22,176.23,177.53,177.2,177.14,8462491.0,177.2
843,2016-04-21,112.31,114.04,113.44,112.55,20875230.0,113.44
842,2013-04-18,25.15,26.82,25.69,26.82,39059000.0,25.69
841,2013-07-09,25.03,25.49,25.48,25.07,30387900.0,25.48
840,2017-05-30,151.64,152.9,152.38,151.97,13145329.0,152.38
839,2012-12-20,27.13,27.6,27.36,27.49,35574800.0,27.36
838,2016-11-22,120.9,122.98,121.47,122.4,26089163.0,121.47
837,2017-09-14,170.5,172.28,170.96,172.26,15496424.0,170.96
836,2014-04-24,59.77,63.65,60.87,63.6,138769000.0,60.87
835,2015-08-24,72.0,87.14,82.09,77.03,83710727.0,82.09
834,2013-07-19,25.6,26.1077,25.881,25.82,46539700.0,25.881
833,2018-03-06,179.11,182.38,179.78,181.78,15086784.0,179.78
832,2012-09-18,21.37,21.98,21.87,21.6,36760500.0,21.87
831,2015-01-05,76.86,79.2455,77.19,77.98,26452191.0,77.19
830,2015-07-31,93.95,96.33,94.01,94.95,46509045.0,94.01
829,2015-09-10,89.63,92.06,91.98,90.07,26437398.0,91.98
828,2014-08-07,72.7,74.0,73.17,73.0,38093400.0,73.17
827,2016-07-15,116.58,118.28,116.86,117.74,16645964.0,116.86
826,2017-02-28,134.75,136.81,135.54,136.79,16112092.0,135.54
825,2014-04-03,59.13,63.17,59.49,62.55,83859000.0,59.49
824,2017-09-20,170.7,173.05,172.17,172.5,11899057.0,172.17
823,2015-08-21,85.61,89.18,86.06,87.52,62778680.0,86.06
822,2017-04-07,140.24,141.55,140.78,141.2,11811439.0,140.78
821,2015-03-13,77.68,79.38,78.05,78.6,18557296.0,78.05
820,2015-10-28,102.92,104.48,104.2,103.9,24081515.0,104.2
819,2017-07-14,159.33,160.32,159.97,160.13,16172560.0,159.97
818,2017-07-11,152.91,155.42,155.27,153.37,13208251.0,155.27
817,2016-09-26,126.8,128.16,127.31,127.37,15064940.0,127.31
816,2018-04-20,165.81,168.43,166.28,167.79,19119438.0,166.28
815,2015-04-27,81.63,82.93,81.91,81.87,25446032.0,81.91
814,2013-10-11,48.79,49.87,49.11,49.18,58428000.0,49.11
813,2016-06-21,113.97,115.2142,114.38,114.12,19166269.0,114.38
812,2016-12-01,114.0,118.45,115.1,118.38,43276994.0,115.1
811,2013-08-30,41.06,42.26,41.294,42.025,67735100.0,41.294
