,Date,Low,High,Close,Open,Volume,Adj Close
848,2014-05-07,197.25,210.2,201.35,209.64,10179300.0,201.35
847,2013-11-11,137.1,145.42,144.698,141.0,13997600.0,144.698
846,2014-01-14,136.671,162.0,161.27,140.5,27607000.0,161.27
845,2011-06-23,26.21,27.72,27.71,27.2,1170000.0,27.71
844,2018-05-08,299.0,307.75,301.97,300.7953,5930000.0,301.97
843,2011-07-25,28.44,29.25,28.49,29.01,673300.0,28.49
842,2011-08-09,23.7,25.45,25.06,24.15,1333400.0,25.06
841,2016-11-28,194.55,199.35,196.12,195.48,4529182.0,196.12
840,2017-10-16,347.16,354.48,350.6,353.76,5353262.0,350.6
839,2016-11-15,182.05,186.43,183.77,182.78,3902018.0,183.77
838,2013-05-24,92.0,97.95,97.08,92.6,16124200.0,97.08
837,2015-06-26,266.0,269.11,267.09,268.89,3838434.0,267.09
836,2013-09-11,162.13,167.895,163.52,166.41,5832500.0,163.52
835,2014-01-03,148.601,152.19,149.56,150.0,4695000.0,149.56
834,2012-05-31,28.75,30.29,29.5,30.07,1118700.0,29.5
833,2017-10-24,336.16,342.8,337.34,338.8,4463807.0,337.34
832,2016-08-18,222.29,225.66,223.51,223.82,1714467.0,223.51
831,2014-12-18,211.8,218.44,218.26,212.38,7483349.0,218.26
830,2017-03-13,242.78,246.85,246.17,244.82,3022625.0,246.17
829,2012-11-30,33.01,34.28,33.82,33.63,1420300.0,33.82
828,2014-06-04,200.396,206.26,203.99,204.35,3427400.0,203.99
827,2015-03-13,187.32,191.75,188.68,188.95,5434298.0,188.68
826,2017-03-21,250.24,264.8,250.68,262.83,6908554.0,250.68
825,2018-05-29,276.15,286.5,283.76,278.51,5666640.0,283.76
824,2011-03-09,24.27,24.99,24.72,24.66,924800.0,24.72
823,2011-08-11,24.0,25.75,25.3,24.04,836500.0,25.3
822,2011-11-07,30.75,32.0,31.27,31.64,1266300.0,31.27
821,2017-03-24,255.01,263.89,263.16,255.7,5647253.0,263.16
820,2012-06-11,28.9584,31.0,29.12,30.31,636000.0,29.12
819,2011-09-20,25.67,26.6,26.01,25.98,1180400.0,26.01
818,2013-01-28,36.86,38.71,38.03,36.86,1986000.0,38.03
817,2015-08-27,230.81,244.75,242.99,231.0,7655959.0,242.99
816,2016-08-05,227.4,232.0,230.03,230.0,3205215.0,230.03
815,2012-08-23,29.65,30.85,30.73,30.0,1471000.0,30.73
814,2013-04-03,40.2105,43.47,41.1,43.1,5643600.0,41.1
813,2016-07-01,206.0,218.24,216.5,206.14,5399951.0,216.5
812,2014-03-31,206.39,216.75,208.45,216.5,8380000.0,208.45
811,2015-10-08,221.31,230.72,226.72,230.08,6133216.0,226.72
810,2015-08-10,236.05,242.97,241.14,238.15,4185860.0,241.14
809,2016-08-29,215.0,220.4,215.2,220.15,3266334.0,215.2
